epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4275.68,0.81556,3.01622,1.17708,0.36827,0.58943,0.45328,0.36854,0.7033,2.59459,1.08423,0.00999007,0.00333002,0.00999007,0.00333002,0.00999007,0.00333002,0.00999007,0.00333002
2,6652.81,0.83836,2.21587,1.15526,0.49798,0.65838,0.55943,0.45222,0.75798,2.1506,1.12205,0.0198911,0.00663037,0.0198911,0.00663037,0.0198911,0.00663037,0.0198911,0.00663037
3,8724.64,0.88548,2.03562,1.15345,0.42627,0.67386,0.50966,0.39164,0.82616,2.5872,1.13894,0.0296932,0.00989772,0.0296932,0.00989772,0.0296932,0.00989772,0.0296932,0.00989772
4,10698.7,0.93678,1.89891,1.18924,0.50566,0.72505,0.65445,0.50284,0.831,1.74712,1.15009,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,12724.4,0.90612,1.66028,1.16439,0.55336,0.73727,0.67408,0.50379,0.91226,1.64242,1.28432,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,14756.9,0.86497,1.47442,1.14528,0.6622,0.74903,0.73849,0.59899,0.71395,1.28484,1.06042,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,16768.2,0.8289,1.33895,1.12092,0.59607,0.76726,0.733,0.57762,0.73602,1.23337,1.06027,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,18787.5,0.81531,1.25265,1.10784,0.71218,0.7702,0.81585,0.66286,0.70845,1.05526,1.0508,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,20777.6,0.79782,1.17491,1.10197,0.76851,0.78867,0.85189,0.69942,0.67214,0.88391,1.0192,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,22744.3,0.78044,1.1022,1.0886,0.82661,0.78698,0.8857,0.73762,0.67468,0.8296,1.03072,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,24676.4,0.7693,1.05902,1.08689,0.80518,0.78479,0.86235,0.70616,0.67781,0.94756,1.0317,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,26624.5,0.75983,1.00492,1.08025,0.8395,0.82086,0.91293,0.76472,0.63694,0.74169,0.99597,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,28595.9,0.74487,0.96184,1.07055,0.9058,0.8277,0.93082,0.77832,0.63957,0.66964,1.00263,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,30558.8,0.73445,0.91182,1.06449,0.85683,0.84122,0.9198,0.78355,0.60497,0.6975,0.97864,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,32499.4,0.70978,0.89989,1.05023,0.86258,0.88839,0.94035,0.79394,0.62232,0.64152,0.99159,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
